image_id,num_keypoints
226939,78
128211,71
452250,81
75697,75
204919,75
121381,81
151408,78
285437,81
256087,81
234031,81
33830,78
145849,78
64470,87
541528,84
501429,81
359470,99
191900,84
308522,81
128599,78
6189,78
393224,78
81967,78
472686,78
138179,90
38670,78
200597,84
158201,81
215346,81
440931,78
115108,81
87263,84
167489,81
297299,93
374702,75
6981,81
97801,81
443192,84
357975,81
531816,81
548843,81
281164,87
252468,77
87738,86
204943,75
140029,71
163764,78
200312,75
253746,81
526599,78
70863,75
411587,81
345847,78
519465,81
334648,81
70471,78
178025,72
365082,81
188866,78
322586,78
300186,75
436,84
202860,81
580847,78
290652,72
363403,78
93106,81
551243,81
352949,78
240185,81
265916,75
162580,84
267625,81
238210,78
226545,81
352585,78
34354,72
573611,84
573165,81
26484,78
90592,81
510232,81
185209,84
44298,78
84386,87
276381,81
134240,81
323129,78
557376,84
498856,78
321363,81
120643,75
10779,81
439271,78
313694,87
235299,78
205238,84
450107,81
205134,78
116988,84
572391,81
334681,81
430281,78
323917,78
252859,75
279723,75
452761,75
388381,87
342211,77
325102,81
370980,81
163033,81
62483,81
122382,71
325014,81
145631,81
404476,81
318953,78
368219,81
577819,78
100553,78
441275,108
41597,81
125208,81
386304,81
227474,84
354254,81
444895,78
542799,84
300214,78
270443,81
319487,93
200663,78
259345,87
25987,84
58171,78
181009,75
540203,87
107073,78
406555,75
134271,72
171875,81
1815,78
572326,81
248034,90
145351,78
352011,78
376059,78
505265,84
369936,96
100438,81
209229,84
254410,81
531056,78
469232,81
121565,81
138961,78
96746,84
191122,84
434899,81
170180,81
390934,99
335692,87
414289,81
146640,81
444952,81
74788,75
427980,81
42790,78
307866,81
420922,81
8309,81
486014,81
41875,78
149115,78
541050,81
566357,72
511350,78
293891,84
246563,78
305576,83
99067,78
571867,78
385320,78
396636,72
112250,75
324107,78
271759,72
480629,78
327000,84
519398,78
270420,84
265815,78
274758,90
199166,102
341212,78
438723,87
536200,75
196525,78
108965,78
28012,81
365325,84
498535,78
381332,81
407113,78
326237,75
202739,78
285353,72
15968,87
364720,78
442150,78
22882,78
125259,78
397857,81
498295,75
169003,78
502582,78
497330,84
476230,75
254199,81
445682,71
38426,81
329016,81
424844,75
456465,96
566064,81
376420,81
421733,90
345145,81
347380,78
400742,78
537424,81
459993,75
329090,78
155735,89
540775,75
59972,78
560282,81
488500,78
526666,87
442225,78
227370,75
450355,75
35795,84
105480,84
74959,78
529555,78
175998,87
79367,75
102834,81
517987,111
493628,83
496287,96
147960,87
110,75
578572,81
494594,78
81357,87
190530,75
308509,81
477245,84
422657,78
130971,108
129864,90
468393,75
338642,93
191643,81
80651,78
341695,78
301582,81
437632,87
293133,75
384559,81
38477,78
483451,81
516487,81
275754,84
134178,75
151664,75
418772,81
289033,78
543119,72
50817,81
314147,84
162041,81
438329,81
24038,105
150512,81
56872,75
122394,81
460484,78
508429,108
576704,86
475146,78
275494,108
436538,81
341309,81
50563,72
371510,81
111311,78
370,78
13844,84
42044,78
459752,81
455334,81
3580,84
315742,78
573714,78
401310,81
206279,93
57750,81
258433,81
403666,87
69568,81
130485,78
218183,75
439982,78
578449,81
110514,75
206591,87
360217,87
461019,75
126408,84
319677,78
232001,87
198289,78
153892,81
131361,81
188148,99
274724,81
115117,81
563743,81
194755,78
551305,78
546847,81
314378,84
229193,81
389516,78
307656,81
173704,81
4386,96
201322,78
378323,81
321877,72
449959,78
238189,108
540317,81
212715,81
501242,99
98284,78
345665,81
151611,78
403786,90
136701,87
11449,87
24674,78
285293,78
239445,81
213790,78
370010,108
542591,81
160255,87
451842,87
147319,81
513456,81
330174,81
72235,81
406026,78
525170,81
393724,78
192878,84
294585,78
546311,78
314992,87
142565,72
361397,78
110573,81
57283,81
23420,78
331635,78
466267,81
306516,78
404272,81
520590,78
101531,78
236068,78
331954,78
181867,75
93985,84
127096,81
53532,78
150292,81
451703,87
528321,78
456807,78
125774,78
307032,78
73174,78
12661,81
52016,81
257339,87
420892,78
38296,81
527313,75
174030,90
294527,90
516176,84
423919,99
46223,84
330901,78
170558,84
60881,84
75768,92
72525,78
281628,108
349090,75
277386,87
433392,90
18930,77
126714,70
326148,81
266563,78
63636,84
551849,84
464833,81
89174,78
91336,105
349099,78
41528,81
449350,81
220046,84
566188,78
69770,78
484312,78
150017,93
51335,81
2992,81
193565,75
256603,78
8592,78
543830,78
544796,87
550478,84
240481,84
558611,81
509514,81
212427,108
118642,87
206400,81
348469,78
58708,75
32708,105
239204,87
289797,78
37931,78
453003,87
218759,81
95950,81
99410,81
482894,78
510977,78
130175,81
304930,81
20188,105
26655,81
223241,93
221661,78
542718,81
368844,81
270702,87
409102,84
507826,84
183562,87
545066,105
326774,93
40720,87
359238,81
525823,78
162386,72
291260,81
578903,78
29833,81
150955,81
269273,78
483425,84
364659,96
97365,81
24563,81
548452,84
336431,81
11256,111
232993,77
313228,81
125694,81
532565,75
573297,78
80306,78
23984,81
41319,87
106849,75
421231,87
425839,108
53464,81
347354,78
464965,81
453621,111
572508,78
424044,78
210286,87
13783,78
107360,102
382945,75
461870,81
463640,78
344741,87
348371,81
49891,99
184181,81
560227,75
249825,84
421253,81
259655,81
109077,75
138521,87
268293,78
230210,84
399556,75
343969,78
318154,78
138780,81
355458,75
46331,78
348595,78
188723,81
578330,81
127880,78
390941,75
277202,81
237923,81
57782,81
154379,84
518932,78
460666,81
78058,87
114732,84
445355,84
440480,87
503399,78
216468,78
405013,81
179186,75
460773,87
197918,72
401436,84
203112,78
118839,80
208618,93
52631,87
452866,78
359139,81
408917,84
28671,78
253956,84
307316,75
124811,84
506740,81
313186,78
175334,81
257959,108
486154,84
511159,78
359535,78
109580,78
12614,87
328214,81
128750,78
36951,81
163025,84
355256,81
101573,96
204489,75
306931,78
8841,84
508962,78
476398,71
329527,81
76034,105
278066,78
270715,87
514731,108
406518,78
302236,102
502800,96
390182,81
112201,81
337842,93
346049,81
375483,96
335587,81
342650,84
556064,81
363276,81
335207,81
377777,75
287519,75
372943,81
318857,87
235203,75
27428,75
141205,81
302740,78
18396,102
116872,78
555461,81
414435,87
495055,102
375688,75
353787,78
540868,99
78703,81
441633,93
261885,81
500514,81
344599,84
79684,78
362008,78
354539,72
422876,81
482187,78
447967,81
540057,81
140648,81
75341,78
406116,87
89212,87
550117,72
282485,93
291410,93
559859,78
172324,81
340069,81
353200,78
175541,78
151637,81
410084,75
464526,84
331180,108
363036,81
224470,81
551494,78
351430,72
80613,83
204897,81
37030,84
13639,78
319350,84
120059,78
23967,78
469647,72
193384,78
575476,81
960,78
222628,81
341886,84
279580,72
368855,78
324340,81
67748,72
35361,75
93030,78
341309,75
17776,78
405418,78
514254,90
123023,81
165199,84
147919,78
559525,83
212698,87
289152,102
438186,99
183329,81
314944,78
36051,84
341844,78
538891,75
310665,78
132816,81
338288,78
381051,105
123974,81
260545,84
510616,84
365306,81
120537,78
559586,78
93599,81
550812,93
465829,75
375099,81
98205,77
348785,81
187336,78
135287,84
267266,78
563424,78
333613,78
459056,78
465556,81
390829,78
512282,78
70740,72
229494,81
367518,84
85549,90
66808,78
162769,81
355741,78
573786,81
242218,71
65655,87
487649,78
120357,78
397575,84
86848,81
220316,75
182027,87
266727,84
251292,92
445098,75
463771,78
442206,78
318179,78
297964,93
63754,81
182710,88
195086,90
264375,72
374313,78
178112,81
502862,81
140322,79
488033,78
111680,84
204767,81
252036,87
576305,81
273684,78
354685,93
462022,78
80742,81
64071,78
82301,81
462890,93
24307,87
381633,108
230537,84
290652,78
323448,84
292805,87
577277,111
255339,78
232451,81
319991,81
133113,84
433822,78
552320,75
502671,84
97502,105
309773,87
561383,75
427538,75
155245,75
150640,72
235701,84
143554,78
306990,93
207094,72
317237,78
321633,87
326966,87
240387,93
280340,78
211631,87
38548,78
407651,87
206956,87
308251,87
412208,84
519510,81
236822,87
5424,87
254454,81
241283,90
67099,81
195903,75
507674,75
324285,84
136971,99
521416,81
229633,87
369449,78
442231,72
126910,81
109041,72
312877,78
339575,87
321262,72
229024,108
118061,80
71244,81
167300,90
46818,78
288664,81
279241,81
478798,78
221120,81
299773,72
273886,84
162332,78
282566,78
468783,87
35738,84
359399,78
1298,84
442695,99
486175,78
272666,108
278931,84
419828,87
246839,84
82147,81
330094,75
313675,90
19781,84
578344,93
452866,75
250249,90
258036,102
543520,81
198422,84
528600,84
410378,81
557107,102
64439,84
429517,84
360208,81
419816,78
59547,78
455809,102
258019,84
525546,78
482605,87
140087,78
457003,84
254990,84
536055,90
353136,78
285138,81
576253,78
101218,96
463176,77
412544,84
15883,81
119876,78
475696,105
539717,84
25237,81
373305,81
222376,84
34333,81
357013,84
325473,84
333134,81
218539,87
12873,78
207437,75
580870,78
314530,78
358058,81
65899,87
422115,84
54425,78
236260,78
28214,81
42553,81
577556,84
346521,78
140768,90
564511,87
26260,78
314378,84
373356,81
336195,75
570643,78
21641,102
307897,78
341219,81
254926,78
98494,81
169436,81
7789,75
221390,108
441180,102
574760,78
124101,87
158420,87
520585,84
240378,75
233543,81
233121,72
360182,93
490352,102
102928,87
126045,81
458870,72
109524,81
394050,90
358019,81
496732,78
144358,80
437363,78
460857,81
7921,84
106073,78
405121,108
167724,80
523487,84
542302,81
562062,78
260221,72
421243,84
104422,93
171017,81
329242,78
179526,105
25855,105
134386,87
393306,84
226761,90
137808,96
33874,78
121748,84
15726,81
195275,87
45842,84
478298,108
150358,90
303548,90
338108,75
364436,90
30960,93
515821,84
542910,84
154892,75
352937,111
230982,78
156180,84
497035,78
63247,84
281837,78
370816,108
223871,99
504561,75
162654,87
279978,81
327536,81
453552,93
233726,78
492420,78
42667,90
117404,75
85247,111
555602,75
161546,87
261787,87
306627,87
500019,90
62703,75
232919,78
61769,78
134169,84
282503,87
521182,84
222640,105
365366,90
560150,102
105877,84
53196,90
525533,99
509009,96
345799,81
240062,87
572456,105
461838,81
288061,80
30274,99
535289,78
295745,87
461019,78
17791,79
547137,81
184520,84
396385,81
232770,81
347403,78
364994,102
539787,78
335197,87
564639,81
328217,78
179551,81
66650,78
468570,99
401068,108
224702,78
128113,90
246612,87
111629,75
153380,87
285727,78
265990,81
338121,81
59024,78
120178,84
133634,84
199403,93
26602,84
474609,81
388255,81
55331,90
326124,78
479597,81
441862,84
207976,81
150677,75
98956,78
474751,102
484681,102
286685,87
334083,99
275117,75
112166,81
195408,108
42201,87
169854,84
507471,78
567363,81
380639,78
496747,84
388034,93
364525,81
52073,75
10069,102
539189,102
225719,105
402588,81
123411,81
238517,87
144036,78
84114,81
211283,81
47502,78
497113,81
403198,93
87811,72
93746,81
563179,87
258688,81
348571,108
377701,86
315899,78
129706,81
133543,84
165199,81
161242,99
241767,90
15582,90
190277,81
255641,75
357385,84
502338,81
526165,75
269343,87
108327,84
391620,81
296883,87
571825,78
223420,81
336101,87
139353,81
134907,84
506550,81
562377,75
331635,78
291572,99
20599,78
195355,111
224079,108
429122,78
115579,87
283405,87
461187,81
276552,81
153013,87
221156,111
540670,81
360112,78
287386,108
537608,84
215612,81
157053,78
4011,78
293148,75
348179,90
320418,81
433305,84
376983,87
364336,75
117772,87
184972,93
571334,87
407634,81
165267,81
72866,84
107376,78
6906,78
256936,78
458935,84
50553,105
47739,78
498134,78
407949,78
528098,81
204020,87
175281,84
291417,78
279838,78
321718,87
159507,78
323356,84
282943,81
487349,81
199639,87
168353,84
527257,78
466456,72
273279,90
551987,84
173340,81
354225,81
103578,78
402844,81
385555,81
30231,84
309153,84
393874,84
14253,87
176138,75
508840,87
165,81
304330,75
457538,111
68219,75
214528,78
408071,81
451902,78
175606,96
300721,81
388299,84
181343,81
178485,84
114034,78
304260,90
237514,81
166948,75
46419,81
442726,87
32329,75
157793,78
154739,78
51478,108
50340,81
175757,81
199992,81
362865,105
376911,75
140263,81
575006,78
462955,81
121420,78
74704,108
406294,78
194499,111
248283,78
313873,93
354409,78
357010,78
469040,78
131763,80
140667,75
7894,96
507224,102
563625,81
177721,94
252091,75
466745,99
71716,81
25423,87
301256,81
153749,81
145497,84
97092,81
165803,87
433397,81
576816,87
74656,78
449865,105
45922,84
367891,81
16980,78
324135,75
571364,78
493173,78
400332,81
115117,84
580609,87
336245,111
28327,90
91808,72
341399,72
155465,81
504070,95
458804,90
158186,81
138127,81
578861,78
183176,90
389207,78
326299,87
40114,81
512400,78
257656,81
499866,81
132223,81
492465,78
522194,81
495536,96
172316,87
169116,78
192181,93
77377,78
552472,87
218760,78
310214,105
418134,84
73588,84
30665,84
140633,81
308792,90
319293,111
570474,75
20161,78
415613,78
9270,78
320194,93
541949,96
538637,93
419489,81
523890,84
528094,105
157184,87
149739,78
136664,72
304735,75
541868,90
449466,84
66412,87
577556,84
89266,96
3348,78
152502,105
427301,90
474123,78
306426,84
177375,78
450748,81
553908,90
424137,75
354821,87
544471,78
171762,78
184295,81
81704,108
394447,72
438154,78
48668,81
314614,78
189365,84
341696,108
380484,84
575049,78
168022,78
276937,81
328144,87
227713,87
58801,81
318203,72
277812,84
223198,99
82513,111
221663,111
61315,78
117691,90
58836,108
160531,81
155231,93
533106,78
52036,111
303593,93
167115,81
243019,81
235812,87
481931,78
468792,108
380432,84
532194,81
492638,78
410571,81
164116,81
488089,87
77686,81
189880,78
118369,87
548451,81
150640,78
564447,81
175101,78
524979,84
336802,111
14824,80
7830,74
64341,87
195023,81
152650,111
554651,102
350326,78
290684,93
8383,90
490280,78
451240,81
544913,87
410101,84
381134,87
191511,75
31717,87
10727,84
327819,84
103462,81
392511,81
62833,108
10249,90
161865,72
194347,111
356702,78
438157,96
476360,84
153931,84
376377,87
416875,84
129201,87
185479,108
156045,87
560457,84
272007,108
361420,78
445334,78
51054,84
382999,99
107169,84
227617,81
62858,84
386684,108
227485,75
48365,93
434511,78
452618,81
179681,84
470647,78
442206,75
106525,78
24132,87
347131,78
185393,75
540196,84
76681,90
400379,81
82998,81
231997,108
56283,105
57595,84
575164,81
415770,87
271066,81
236177,90
237203,81
75884,78
252813,78
10646,81
180283,84
442097,90
415548,81
158582,78
345559,78
483347,84
50562,78
421759,84
216851,84
141236,81
229852,87
296631,78
243962,78
573536,78
548361,96
331506,78
262862,90
516462,78
10727,81
397658,78
141520,78
148937,72
304519,75
337994,78
416188,87
310725,87
532789,81
99218,99
306833,84
289076,77
430656,75
252691,78
118925,81
143143,78
270696,87
262275,81
260791,96
510138,78
50414,96
157862,99
339597,75
98841,78
467887,84
317162,93
255495,81
138401,102
533258,81
449839,78
188623,78
109190,78
519055,84
477641,78
29136,84
446141,78
277426,108
114162,93
50028,108
459110,75
517101,90
226761,84
142924,84
495988,78
47361,81
329841,99
225306,81
219926,99
73197,84
144203,78
269015,84
143479,84
87811,78
528266,75
155774,75
314298,75
425964,78
152294,84
231954,93
337660,75
286013,93
300622,81
495683,81
129379,105
518321,102
175565,77
277422,84
48739,78
139065,81
280307,78
256343,78
386853,96
96030,81
299468,87
261477,81
216021,102
517947,84
524924,84
456451,81
313220,78
220366,72
235302,90
244967,75
114052,81
581278,81
394474,78
92928,81
1563,81
515899,81
59262,78
448423,96
510790,77
109838,81
60370,75
94061,81
1204,87
165476,105
267661,99
55882,78
386876,87
6744,72
397938,75
204147,78
282444,90
161112,81
198721,90
111104,78
247782,81
272273,75
467067,87
409603,84
164835,96
394766,84
457086,75
79873,105
290370,87
290378,111
45516,111
28402,87
381607,105
169690,96
236626,78
362368,81
349590,80
466445,93
91353,78
43753,81
389855,78
104980,78
572529,111
254332,87
525675,78
79754,84
357971,78
506515,81
122766,84
233080,93
45058,72
231080,81
354290,84
319388,87
65209,111
317102,84
320059,87
27136,90
361475,90
463953,78
180020,90
277956,84
539575,93
554021,87
163560,78
150144,78
128929,75
276006,90
111194,81
189855,81
544272,84
119134,78
359340,90
298812,111
109937,84
182362,78
208871,84
112029,90
553179,87
31941,108
260025,72
573087,78
327675,84
470893,78
9800,78
221713,81
222260,111
382620,78
70020,81
457800,78
88087,78
375296,90
68254,87
528030,81
175096,84
264568,108
172952,96
67785,81
541209,111
347755,108
431954,81
526165,81
150100,81
75305,81
158680,81
344741,81
311996,105
291686,81
428035,81
245729,105
167520,81
377515,93
146448,81
377612,108
267502,78
185089,84
209113,75
134924,81
518158,90
356011,75
36482,96
454712,78
104299,81
21276,78
308506,111
540059,87
547607,78
492654,78
291898,78
70201,78
365265,96
366795,78
541131,81
347362,78
465360,78
277025,75
106638,81
507385,84
557998,78
176790,87
135796,81
259037,108
418517,75
569484,111
451690,87
330665,81
183219,81
151250,78
381889,78
110265,87
236759,99
226173,108
316237,84
407810,84
287303,111
547471,111
372790,81
486250,84
570741,84
357242,81
408289,108
38845,78
230031,93
172957,90
295837,84
308134,81
99070,84
477466,75
120428,108
27136,93
177050,78
271259,84
111031,78
71427,78
283055,81
120783,84
353860,81
358543,90
122937,111
247484,84
447336,102
269174,78
111447,99
454830,75
214589,75
380007,75
182715,78
549255,78
563712,84
64842,81
553660,93
154835,108
211819,78
546670,108
358158,78
250195,81
430643,84
92543,90
111109,87
204294,78
183414,78
454269,78
5219,96
93120,81
120778,80
12614,84
228224,84
535580,102
248854,81
62297,111
79853,96
193925,81
315200,84
428050,102
119502,111
147429,108
414201,81
542915,84
86075,78
178430,81
311996,105
338847,78
310131,78
411740,78
19487,78
553985,81
225535,81
328409,108
90319,87
48320,81
285302,93
485172,87
41552,99
182906,87
396021,78
539920,78
517755,81
462173,99
201498,78
98596,93
518273,81
51606,72
10787,84
517140,75
280833,84
283957,81
496206,93
46023,87
557188,81
102555,105
303431,81
211234,84
524677,78
442104,78
54516,108
224530,96
265810,81
275850,78
366109,78
231714,78
305639,93
284703,81
418620,78
255550,84
489844,81
571887,90
579466,87
409100,87
248382,105
472509,78
214257,78
325873,102
52193,90
467332,108
539555,90
393290,80
23935,81
78482,78
41840,72
72850,84
413970,81
62336,81
91105,93
352427,108
235624,81
255634,93
47886,87
439071,107
88576,96
520530,84
353012,78
36,81
25147,111
401301,108
371470,81
73773,90
305156,108
232093,75
3938,78
416723,81
58179,90
485265,75
211760,81
252614,90
287249,81
254703,105
551167,78
47235,78
248831,93
551418,81
224830,87
39570,87
468401,81
358543,111
332607,108
300357,102
391678,96
232387,84
397377,72
447787,78
424246,108
377159,111
227882,108
85814,96
77181,90
390806,105
80041,84
371536,78
318307,84
243212,96
326014,108
248300,78
164783,78
4187,81
115829,84
539888,87
270338,74
295440,81
342593,87
50667,87
385505,78
413012,87
132114,108
107963,72
522185,81
277389,90
338431,105
330694,81
434787,72
385519,84
569314,90
367085,81
367929,78
551651,108
88825,111
257815,99
525908,87
234100,81
501700,72
321390,87
194097,78
538394,78
254244,111
431865,93
162700,93
222026,84
168657,72
426897,81
259465,78
296152,87
331852,108
392615,87
580466,99
500514,75
576500,78
204777,84
208386,78
143904,105
259610,78
350457,78
230570,78
494629,93
500183,105
4702,84
570656,75
383703,84
399095,90
155754,84
419678,105
304125,78
176321,78
345787,99
164548,84
488287,84
156391,75
143333,108
49933,78
104999,90
384874,90
220504,90
405469,81
276671,84
109673,81
479944,93
87328,99
460980,108
551963,90
359589,78
46023,72
167002,77
311173,87
491505,72
407259,81
250543,72
371412,75
240213,90
57794,93
91725,75
100912,102
499051,78
295766,81
37655,81
27267,81
153822,78
384346,90
32538,93
2703,84
153332,78
190554,81
19767,87
179024,81
423455,99
272949,102
303971,84
204643,87
23998,108
195982,81
692,96
99354,90
281038,81
552320,78
413615,99
131979,81
153631,105
463354,108
340007,87
455799,78
250400,87
121849,90
498045,81
283868,78
324156,78
574356,84
110562,84
189371,105
261779,108
179520,96
203867,81
410805,84
69339,75
344794,105
496128,75
267314,98
407734,81
369913,81
56892,90
358502,81
377110,81
152309,105
477774,78
388421,78
231806,72
123333,111
149604,78
69344,78
116356,78
19714,108
178811,90
374593,78
409985,81
446106,84
320478,105
463591,81
