frame_id,time,kyphosis,kyphosis_raw,tfl,lean_bias,confidence
0,0.0000,3.021,2.866,0.461,0.246,1.0000
1,0.0331,2.930,3.386,0.562,0.647,1.0000
2,0.0661,2.901,3.386,0.603,0.647,1.0000
3,0.0992,2.933,2.012,0.584,0.890,1.0000
4,0.1323,3.027,2.012,0.505,0.890,1.0000
5,0.1654,3.471,3.937,0.274,-0.123,1.0000
6,0.1984,3.470,3.937,0.011,-0.123,1.0000
7,0.2315,3.372,4.145,-0.224,-0.244,1.0000
8,0.2646,2.702,3.411,-0.526,-0.086,1.0000
9,0.2976,2.506,0.755,-0.345,-0.460,1.0000
10,0.3307,2.798,2.205,-0.022,-0.279,1.0000
11,0.3638,3.506,2.968,0.422,-0.327,1.0000
12,0.3969,4.739,6.458,0.974,1.799,1.0000
13,0.4299,5.631,5.198,1.509,1.740,1.0000
14,0.4630,5.196,5.613,1.888,1.736,1.0000
15,0.4961,3.859,4.979,2.106,2.066,1.0000
16,0.5291,2.482,1.944,1.996,1.832,1.0000
17,0.5622,1.229,0.471,2.120,2.105,1.0000
18,0.5953,1.352,0.471,1.989,2.105,1.0000
19,0.6284,2.685,3.147,1.704,1.880,1.0000
20,0.6614,4.617,2.581,1.408,1.666,1.0000
21,0.6945,6.697,9.369,1.114,0.577,1.0000
22,0.7276,7.554,8.105,0.839,0.808,1.0000
23,0.7606,7.510,7.147,0.810,0.906,1.0000
24,0.7937,6.902,7.710,0.837,1.099,1.0000
25,0.8268,5.794,4.235,1.252,0.936,1.0000
26,0.8599,6.410,5.714,1.711,1.756,1.0000
27,0.8929,6.560,5.783,2.222,1.749,1.0000
28,0.9260,6.362,8.195,2.703,3.268,1.0000
29,0.9591,5.950,8.195,3.155,3.268,1.0000
30,0.9921,4.718,2.968,3.359,3.104,1.0000
31,1.0252,3.741,2.908,3.138,3.100,1.0000
32,1.0583,3.011,2.158,2.494,2.973,1.0000
33,1.0914,3.054,3.432,1.852,2.086,1.0000
34,1.1244,4.074,4.651,1.166,0.542,1.0000
35,1.1575,4.161,4.578,0.618,0.549,1.0000
36,1.1906,3.827,3.713,0.335,0.303,1.0000
37,1.2236,2.994,3.713,0.359,0.303,1.0000
38,1.2567,1.933,1.196,0.373,0.726,1.0000
39,1.2898,1.550,1.196,0.532,0.726,1.0000
40,1.3229,1.519,1.441,0.874,0.613,1.0000
41,1.3559,1.910,1.473,1.370,0.599,1.0000
42,1.3890,2.817,3.669,1.984,2.510,1.0000
43,1.4221,3.380,3.069,2.534,2.628,1.0000
44,1.4551,3.621,4.040,2.977,3.177,1.0000
45,1.4882,3.803,3.970,3.023,3.168,1.0000
46,1.5213,3.654,3.423,2.643,2.435,1.0000
47,1.5544,3.987,3.423,2.308,2.435,1.0000
48,1.5874,4.267,4.613,1.914,1.679,1.0000
49,1.6205,4.876,4.613,1.669,1.679,1.0000
50,1.6536,5.941,5.953,1.656,1.556,1.0000
51,1.6866,6.261,5.953,1.552,1.556,1.0000
52,1.7197,5.997,6.673,1.406,1.623,1.0000
53,1.7528,5.305,6.673,1.256,1.623,1.0000
54,1.7859,4.185,2.809,1.105,0.872,1.0000
55,1.8189,2.638,2.809,0.951,0.872,1.0000
