time,curvature_raw,curvature_smoothed
0.0000,4.776,7.445
0.0331,13.689,8.580
0.0661,20.137,9.726
0.0992,4.620,12.899
0.1323,4.679,15.076
0.1654,14.990,20.753
0.1984,15.087,25.451
0.2315,33.338,30.012
0.2646,24.370,36.743
0.2976,55.863,43.468
0.3307,55.971,48.620
0.3638,61.190,53.656
0.3969,65.197,52.931
0.4299,65.209,52.428
0.4630,61.355,48.427
0.4961,60.411,42.554
0.5291,26.815,35.965
0.5622,19.840,30.694
0.5953,19.856,25.211
0.6284,3.114,20.131
0.6614,1.886,13.990
0.6945,17.756,11.646
0.7276,15.863,9.725
0.7606,15.640,7.860
0.7937,5.138,8.914
0.8268,5.723,10.252
0.8599,2.548,8.874
0.8929,3.070,7.792
0.9260,12.599,8.323
0.9591,13.928,10.743
0.9921,5.356,10.186
1.0252,6.121,10.005
1.0583,20.427,12.632
1.0914,26.912,14.178
1.1244,0.713,15.586
1.1575,0.922,17.930
1.1906,26.713,22.665
1.2236,26.508,25.818
1.2567,26.600,28.871
1.2898,26.456,34.851
1.3229,48.735,38.019
1.3559,48.804,38.486
1.3890,54.385,37.505
1.4221,54.532,36.517
1.4551,29.436,33.895
1.4882,30.915,28.793
1.5213,17.683,23.395
1.5544,17.702,17.377
1.5874,2.860,12.336
1.6205,2.823,10.171
1.6536,0.220,7.518
1.6866,0.221,6.260
1.7197,9.166,5.001
1.7528,9.950,5.390
1.7859,7.032,5.784
1.8189,6.366,6.467
