frame_id,time,kyphosis,kyphosis_raw,tfl,lean_bias,confidence
38,1.2667,7.261,7.068,0.977,-0.274,1.0000
39,1.3000,7.433,7.865,0.498,1.901,1.0000
40,1.3333,7.291,6.715,-0.006,0.731,1.0000
41,1.3667,6.836,6.309,-0.537,-0.844,1.0000
42,1.4000,6.067,7.561,-1.094,-1.152,1.0000
43,1.4333,4.544,5.830,-2.182,-2.298,1.0000
44,1.4667,3.308,2.334,-2.617,-2.470,1.0000
45,1.5000,1.888,0.485,-2.873,-3.143,1.0000
46,1.5333,0.947,1.029,-3.040,-3.069,1.0000
47,1.5667,0.979,1.759,-3.009,-2.635,1.0000
48,1.6000,1.844,1.031,-2.954,-3.029,1.0000
49,1.6333,2.179,2.756,-2.545,-2.575,1.0000
50,1.6667,2.428,2.661,-1.983,-2.348,1.0000
51,1.7000,2.423,2.985,-1.309,-1.511,1.0000
52,1.7333,2.416,1.054,-0.479,-0.105,1.0000
53,1.7667,2.062,2.981,0.049,0.265,1.0000
54,1.8000,1.714,1.531,0.351,0.376,1.0000
55,1.8333,1.851,1.885,0.306,0.426,1.0000
56,1.8667,2.027,1.577,0.027,-0.299,1.0000
57,1.9000,1.668,1.450,-0.474,-0.309,1.0000
58,1.9333,1.512,3.140,-0.869,-0.648,1.0000
59,1.9667,1.699,0.966,-0.858,-1.046,1.0000
60,2.0000,1.930,0.955,-0.758,-1.750,1.0000
61,2.0333,2.117,1.826,-0.867,-0.414,1.0000
62,2.0667,2.417,4.044,-1.060,0.087,1.0000
63,2.1000,3.085,2.494,-1.429,-1.574,1.0000
64,2.1333,3.205,3.029,-1.841,-2.325,1.0000
65,2.1667,3.349,3.787,-2.176,-2.436,1.0000
66,2.2000,3.861,3.307,-2.096,-2.451,1.0000
67,2.2333,4.561,3.562,-1.616,-1.506,1.0000
68,2.2667,4.601,5.701,-1.119,-0.507,1.0000
69,2.3000,4.548,6.010,-0.771,-0.769,1.0000
70,2.3333,4.573,3.555,-0.624,-0.876,1.0000
71,2.3667,4.455,3.090,-0.606,-0.569,1.0000
72,2.4000,3.854,4.315,-0.825,-0.819,1.0000
73,2.4333,3.283,4.303,-0.874,-0.839,1.0000
74,2.4667,2.967,3.623,-0.779,-0.616,1.0000
75,2.5000,2.434,1.721,-0.791,-1.519,1.0000
76,2.5333,2.066,1.519,-0.908,-0.637,1.0000
77,2.5667,2.754,2.696,-1.207,-0.552,1.0000
78,2.6000,4.874,4.170,-1.495,-1.802,1.0000
79,2.6333,-0.553,6.845,0.878,-2.550,1.0000
80,2.6667,7.102,10.487,-4.897,-3.056,1.0000
81,2.7000,26.008,12.919,-9.382,-3.715,1.0000
82,2.7333,39.177,11.070,-12.649,-6.329,1.0000
83,2.7667,54.857,98.678,-16.137,-40.366,1.0000
84,2.8000,73.050,96.532,-19.845,-12.575,1.0000
86,2.8667,93.755,66.045,-23.773,-20.102,1.0000
