time,curvature_raw,curvature_smoothed
0.0000,0.000,0.000
0.0333,0.000,0.000
0.0667,0.000,0.000
0.1000,0.000,0.000
0.1333,0.000,0.000
0.1667,0.000,0.000
0.2000,0.000,0.000
0.2333,0.000,0.000
0.2667,0.000,0.000
0.3000,0.000,0.000
0.3333,0.000,0.000
0.3667,0.000,0.000
0.4000,0.000,0.000
0.4333,0.000,0.000
0.4667,0.000,0.000
0.5000,0.000,0.000
0.5333,0.000,0.000
0.5667,0.000,0.000
0.6000,0.000,0.000
0.6333,0.000,0.000
0.6667,0.000,0.000
0.7000,0.000,0.000
0.7333,0.000,0.000
0.7667,0.000,0.000
0.8000,0.000,0.000
0.8333,0.000,0.000
0.8667,0.000,0.000
0.9000,0.000,0.000
0.9333,0.000,6.036
0.9667,0.000,7.319
1.0000,0.000,8.110
1.0333,0.000,8.287
1.0667,54.323,9.428
1.1000,11.552,9.647
1.1333,7.120,9.697
1.1667,1.591,9.929
1.2000,10.263,9.930
1.2333,1.974,4.367
1.2667,0.450,3.427
1.3000,2.092,3.753
1.3333,0.003,4.701
1.3667,4.261,4.747
1.4000,3.088,4.873
1.4333,10.058,6.274
1.4667,10.121,7.435
1.5000,10.679,9.255
1.5333,3.107,8.988
1.5667,13.055,9.247
1.6000,12.545,9.028
1.6333,16.380,8.926
1.6667,1.862,8.292
1.7000,5.417,8.642
1.7333,8.089,7.346
1.7667,9.200,6.569
1.8000,4.976,5.044
1.8333,6.250,6.112
1.8667,1.392,6.773
1.9000,5.559,7.266
1.9333,2.650,7.738
1.9667,11.477,8.778
2.0000,11.360,9.489
2.0333,12.527,10.351
2.0667,13.448,10.630
2.1000,14.335,11.385
2.1333,12.657,11.003
2.1667,9.145,11.933
2.2000,8.074,11.738
2.2333,9.438,11.736
2.2667,8.040,11.454
2.3000,19.732,11.576
2.3333,10.774,12.339
2.3667,13.429,13.404
2.4000,11.795,13.841
2.4333,13.753,13.660
2.4667,16.016,11.801
2.5000,17.657,10.675
2.5333,13.376,9.437
2.5667,6.404,8.482
2.6000,3.004,7.627
2.6333,0.643,6.646
2.6667,2.284,5.728
2.7000,3.196,4.325
2.7333,6.063,3.674
2.7667,7.186,5.366
2.8000,9.395,6.298
2.8333,0.752,6.045
2.8667,0.544,5.690
2.9000,18.230,5.016
2.9333,9.035,4.217
2.9667,0.000,3.173
3.0000,0.000,3.090
3.0333,0.000,3.030
3.0667,0.000,1.004
3.1000,0.000,0.000
3.1333,0.000,0.000
3.1667,0.000,0.000
3.2000,0.000,0.000
3.2333,0.000,0.000
3.2667,0.000,0.000
3.3000,0.000,0.000
3.3333,0.000,0.000
