time,curvature_raw,curvature_smoothed
0.0000,11.637,24.867
0.0333,37.753,28.715
0.0667,43.763,32.751
0.1000,39.569,37.015
0.1333,44.534,41.368
0.1667,46.268,45.690
0.2000,47.961,47.353
0.2333,50.015,48.116
0.2667,50.811,48.928
0.3000,50.537,49.126
0.3333,52.723,48.994
0.3667,50.623,48.628
0.4000,46.880,47.944
0.4333,46.319,47.413
0.4667,45.081,46.836
0.5000,44.661,46.160
0.5333,43.865,45.663
0.5667,46.026,45.525
0.6000,45.347,45.656
0.6333,46.642,46.012
0.6667,46.150,46.709
0.7000,45.633,47.618
0.7333,47.503,48.279
0.7667,48.280,48.824
0.8000,50.934,49.138
0.8333,52.050,48.873
0.8667,51.968,47.741
0.9000,50.252,46.231
0.9333,49.468,43.063
0.9667,43.766,39.259
1.0000,35.446,34.821
1.0333,33.914,29.167
1.0667,19.771,25.595
1.1000,16.696,21.852
1.1333,12.108,20.146
1.1667,1.078,19.943
1.2000,18.111,17.547
1.2333,15.780,15.350
1.2667,28.407,13.495
1.3000,33.625,12.150
1.3333,12.345,12.030
1.3667,0.000,10.017
1.4000,0.000,8.264
1.4333,0.000,5.108
1.4667,0.000,1.372
